n,z,density
256,-2.8,0.008437499999999994
256,-2.6399999999999997,0.01187499999999999
256,-2.48,0.017187499999999984
256,-2.3200000000000003,0.025937499999999978
256,-2.16,0.04187499999999996
256,-2.0,0.05906249999999995
256,-1.8399999999999999,0.06624999999999995
256,-1.68,0.08281249999999993
256,-1.52,0.1312499999999999
256,-1.3599999999999999,0.16718749999999985
256,-1.2,0.20312499999999983
256,-1.04,0.2331249999999998
256,-0.8799999999999999,0.2809374999999998
256,-0.72,0.30343749999999975
256,-0.56,0.3384374999999997
256,-0.3999999999999999,0.3865624999999997
256,-0.24,0.3874999999999997
256,-0.08000000000000007,0.39374999999999966
256,0.08000000000000007,0.39999999999999963
256,0.2400000000000002,0.38062499999999966
256,0.40000000000000036,0.36749999999999966
256,0.56,0.3453124999999997
256,0.7199999999999998,0.29093749999999974
256,0.8799999999999999,0.2706249999999998
256,1.04,0.2278124999999998
256,1.2000000000000002,0.19218749999999984
256,1.3600000000000003,0.14656249999999987
256,1.5200000000000005,0.1228124999999999
256,1.6800000000000002,0.10343749999999992
256,1.8399999999999999,0.06562499999999995
256,2.0,0.05906249999999995
256,2.16,0.038749999999999965
256,2.3200000000000003,0.028124999999999976
256,2.4800000000000004,0.020624999999999984
256,2.64,0.015312499999999988
256,2.8,0.008124999999999993
256,2.96,0.004687499999999996
256,3.12,0.003124999999999997
256,3.2800000000000002,0.003749999999999997
256,3.4400000000000004,0.0015624999999999986
256,3.6,0.001249999999999999
256,3.76,0.00031249999999999974
256,3.92,0.00031249999999999974
512,-3.92,0.0009374999999999992
512,-3.76,0.0
512,-3.6,0.0009374999999999992
512,-3.44,0.0015624999999999986
512,-3.2800000000000002,0.0009374999999999992
512,-3.12,0.0018749999999999984
512,-2.96,0.004687499999999996
512,-2.8,0.007812499999999993
512,-2.6399999999999997,0.009687499999999991
512,-2.48,0.019374999999999983
512,-2.3200000000000003,0.028749999999999977
512,-2.16,0.039374999999999966
512,-2.0,0.05812499999999995
512,-1.8399999999999999,0.07531249999999994
512,-1.68,0.09937499999999992
512,-1.52,0.12156249999999989
512,-1.3599999999999999,0.16218749999999987
512,-1.2,0.18562499999999985
512,-1.04,0.2303124999999998
512,-0.8799999999999999,0.2703124999999998
512,-0.72,0.3131249999999997
512,-0.56,0.3518749999999997
512,-0.3999999999999999,0.3596874999999997
512,-0.24,0.37281249999999966
512,-0.08000000000000007,0.39374999999999966
512,0.08000000000000007,0.39406249999999965
512,0.2400000000000002,0.40374999999999966
512,0.40000000000000036,0.39562499999999967
512,0.56,0.3412499999999997
512,0.7199999999999998,0.31343749999999976
512,0.8799999999999999,0.26437499999999975
512,1.04,0.22062499999999982
512,1.2000000000000002,0.19374999999999984
512,1.3600000000000003,0.15937499999999988
512,1.5200000000000005,0.12156249999999989
512,1.6800000000000002,0.09593749999999991
512,1.8399999999999999,0.06812499999999994
512,2.0,0.050312499999999954
512,2.16,0.03781249999999997
512,2.3200000000000003,0.025312499999999977
512,2.4800000000000004,0.018749999999999985
512,2.64,0.01343749999999999
512,2.8,0.010312499999999992
512,2.96,0.004062499999999997
512,3.12,0.003437499999999997
512,3.2800000000000002,0.002187499999999998
512,3.4400000000000004,0.0009374999999999992
512,3.6,0.0006249999999999995
512,3.76,0.0006249999999999995
512,3.92,0.00031249999999999974
1024,-3.92,0.0
1024,-3.76,0.0009374999999999992
1024,-3.6,0.00031249999999999974
1024,-3.44,0.002187499999999998
1024,-3.2800000000000002,0.0028124999999999977
1024,-3.12,0.003749999999999997
1024,-2.96,0.005937499999999995
1024,-2.8,0.006874999999999994
1024,-2.6399999999999997,0.01062499999999999
1024,-2.48,0.020624999999999984
1024,-2.3200000000000003,0.02156249999999998
1024,-2.16,0.038437499999999965
1024,-2.0,0.05999999999999995
1024,-1.8399999999999999,0.07937499999999993
1024,-1.68,0.10156249999999992
1024,-1.52,0.1246874999999999
1024,-1.3599999999999999,0.16281249999999986
1024,-1.2,0.20031249999999984
1024,-1.04,0.2303124999999998
1024,-0.8799999999999999,0.2515624999999998
1024,-0.72,0.3240624999999997
1024,-0.56,0.3440624999999997
1024,-0.3999999999999999,0.3637499999999997
1024,-0.24,0.3771874999999997
1024,-0.08000000000000007,0.3874999999999997
1024,0.08000000000000007,0.3874999999999997
1024,0.2400000000000002,0.3949999999999997
1024,0.40000000000000036,0.37281249999999966
1024,0.56,0.3712499999999997
1024,0.7199999999999998,0.29374999999999973
1024,0.8799999999999999,0.2678124999999998
1024,1.04,0.2274999999999998
1024,1.2000000000000002,0.18812499999999985
1024,1.3600000000000003,0.15656249999999985
1024,1.5200000000000005,0.1268749999999999
1024,1.6800000000000002,0.10249999999999991
1024,1.8399999999999999,0.07406249999999993
1024,2.0,0.05687499999999995
1024,2.16,0.030312499999999975
1024,2.3200000000000003,0.024999999999999977
1024,2.4800000000000004,0.019687499999999983
1024,2.64,0.012499999999999989
1024,2.8,0.008437499999999994
1024,2.96,0.004374999999999996
1024,3.12,0.003749999999999997
1024,3.2800000000000002,0.001249999999999999
1024,3.4400000000000004,0.0018749999999999984
1024,3.6,0.00031249999999999974
1024,3.76,0.00031249999999999974
1024,3.92,0.0
