t,mean,sd,band
0.276,-0.09206877952713935,0.5979172896714996,0.5253570214625479
0.278,-0.08389830637657998,0.5985828028195117,0.5272570530585627
0.28,-0.08179770780936738,0.5953302864298152,0.5291502622129182
0.28200000000000003,-0.0832366154289998,0.5913428551970589,0.5310367218940701
0.28400000000000003,-0.0689641865936065,0.5891496974990409,0.5329165037789692
0.28600000000000003,-0.0716195547051072,0.5980949146960722,0.5347896782848376
0.28800000000000003,-0.0695075278031483,0.6081677612993062,0.5366563145999496
0.29,-0.06893086310045175,0.608054721766226,0.5385164807134504
0.292,-0.06239234091928316,0.6188622228005851,0.5403702434442518
0.294,-0.05718993800077219,0.6155031493145942,0.5422176684690383
0.296,-0.06050576961155722,0.6211423977096364,0.5440588203494178
0.298,-0.06043859449835432,0.6210469952685059,0.5458937625582472
0.3,-0.06972076777946337,0.6243285078753261,0.5477225575051661
0.302,-0.06737905970483328,0.633032720867222,0.5495452665613635
0.304,-0.06536949992126244,0.6309527843295544,0.5513619500836089
0.306,-0.06875085902272003,0.6359429350901974,0.5531726674375732
0.308,-0.07366687811252884,0.6339305247029311,0.5549774770204643
0.31,-0.07526352865695266,0.6427267741405951,0.5567764362830022
0.312,-0.06823573131528883,0.6431614733066534,0.5585696017507576
0.314,-0.07105829227628627,0.6545998823661386,0.5603570290448759
0.316,-0.07695193566827598,0.6441738978608572,0.5621387729022078
0.318,-0.07865794729754587,0.6522583113032229,0.5639148871948674
0.32,-0.08065806570393023,0.6552893388055993,0.565685424949238
0.322,-0.08842473613248941,0.6613143281556192,0.5674504383644443
0.324,-0.08554898966056843,0.6597886369123603,0.5692099788303083
0.326,-0.08077315393779909,0.6674090941730162,0.5709640969448079
0.328,-0.07586420091395936,0.6706561249849948,0.5727128425310541
0.33,-0.07799915177015611,0.6770970204427125,0.5744562646538028
0.332,-0.07998629985719105,0.6746513802124613,0.5761944116355173
0.334,-0.07450080980980281,0.6820770889081943,0.5779273310719956
0.336,-0.08474227745502791,0.693937853334386,0.5796550698475775
0.338,-0.08558679365930992,0.6985456060449846,0.5813776741499453
0.34,-0.08865811973545056,0.6952721344842223,0.5830951894845301
0.342,-0.07927600200019858,0.6921366366585617,0.5848076606885378
0.34400000000000003,-0.07107833317576086,0.6924098122010226,0.5865151319446072
0.34600000000000003,-0.07707507934076095,0.691561148026082,0.5882176467941097
0.34800000000000003,-0.07471765238200745,0.6936073565436781,0.5899152481501051
0.35000000000000003,-0.0774899858278768,0.6994726206447555,0.5916079783099616
0.352,-0.078359427825785,0.7100778513191454,0.593295878967653
0.354,-0.07718657729264802,0.7197439430822141,0.5949789912257406
0.356,-0.07440057474631318,0.7269735343381208,0.5966573556070519
0.358,-0.0782433015130959,0.7286738844115047,0.5983310120660636
0.36,-0.08135608746782591,0.7197957339379526,0.6
0.362,-0.08584284536442151,0.7217639585019848,0.6016643582596529
0.364,-0.08206981098264506,0.7241568943270001,0.6033241251599343
0.366,-0.0917854881240589,0.7175962300523826,0.6049793384901669
0.368,-0.09650286383890269,0.7095480930702617,0.6066300355241241
0.37,-0.0947071939082527,0.7084093879965586,0.6082762530298219
0.372,-0.08317254518518431,0.7102570277637004,0.6099180272790763
0.374,-0.07627787887434412,0.7085831428988532,0.6115553940568262
0.376,-0.07680745974409996,0.7209476862811802,0.6131883886702356
0.378,-0.0764603197925932,0.718698086454647,0.6148170459575759
0.38,-0.07314963557997729,0.7179662585225397,0.6164414002968976
0.382,-0.06732690913317405,0.7230566460651968,0.6180614856144977
0.384,-0.05941491352856068,0.7190187858946693,0.6196773353931867
0.386,-0.06098328271556858,0.7206664344999338,0.6212889826803627
0.388,-0.06499811755645907,0.7172200999814706,0.6228964600958975
0.39,-0.0694890524426237,0.7175622665874133,0.6244997998398398
0.392,-0.06787794209360086,0.724551517291737,0.6260990336999411
0.394,-0.07612060726199804,0.7275929338613942,0.6276941930590086
0.396,-0.0831687216131237,0.7225572380917518,0.6292853089020909
0.398,-0.07909298564423009,0.7235914632136852,0.6308724118235002
0.4,-0.08375864960015691,0.7233463951328553,0.6324555320336759
0.402,-0.08627407034949772,0.7190648157027163,0.6340346993658943
0.404,-0.08478949832756504,0.7146050939710674,0.6356099432828282
0.406,-0.08738170146799867,0.7192839583801347,0.6371812928829597
0.40800000000000003,-0.09052871254619527,0.7196889570320543,0.6387487769068525
0.41000000000000003,-0.10667272683606428,0.7259965177912971,0.6403124237432849
0.41200000000000003,-0.10093849924662794,0.7281477950152723,0.6418722614352486
0.41400000000000003,-0.10098573279314764,0.7316121806094413,0.6434283176858165
0.41600000000000004,-0.10452816609609726,0.7322818390563087,0.644980619863884
0.418,-0.10031541817791163,0.7513739279685983,0.6465291950097846
0.42,-0.10681504429038148,0.7514598712973967,0.648074069840786
0.422,-0.10144450588475643,0.754445419583978,0.6496152707564686
0.424,-0.1003982759646241,0.7582976701960386,0.6511528238439882
0.426,-0.09298180989547104,0.7601252498673694,0.6526867548832288
0.428,-0.090693343750267,0.7562363037200481,0.6542170893518451
0.43,-0.09310306904787001,0.750992459462936,0.6557438524302001
0.432,-0.10364394203220474,0.7459503388907859,0.6572670690061994
0.434,-0.10213981236500462,0.7496293664997772,0.6587867636800242
0.436,-0.10057474985689026,0.7398120601800249,0.6603029607687672
0.438,-0.10960343630329028,0.7396542924894287,0.6618156843109719
0.44,-0.11385701878607174,0.7287200179851067,0.6633249580710799
0.442,-0.11347082928330912,0.7237271517342871,0.6648308055437865
0.444,-0.11641822849909965,0.7197688454354313,0.6663332499583072
0.446,-0.11883360197775426,0.7205889869108415,0.66783231428256
0.448,-0.12135752555756031,0.7262855216858044,0.6693280212272604
0.45,-0.12269147492783224,0.7294196512798031,0.6708203932499369
0.452,-0.13434322640870103,0.7372781759876352,0.6723094525588644
0.454,-0.14534734311081793,0.7379975518336951,0.6737952211169207
0.456,-0.15164401358895668,0.7402130042592765,0.6752777206453653
0.458,-0.14663614450380003,0.7436126216926395,0.6767569726275452
0.46,-0.14901794260133422,0.745656455507442,0.6782329983125268
0.462,-0.15443337323912779,0.7441383587105338,0.6797058187186572
0.464,-0.15549906941132371,0.7489487583435398,0.6811754546370561
0.466,-0.15384207299211042,0.7476112460616049,0.6826419266350405
0.468,-0.15787988982491127,0.7441289122339663,0.6841052550594828
0.47000000000000003,-0.14720416286630417,0.7422829973992389,0.6855654600401044
0.47200000000000003,-0.1478366261608584,0.7467804798318901,0.6870225614927068
0.47400000000000003,-0.15489095453693347,0.7485956496312198,0.6884765791223403
0.47600000000000003,-0.1505451640542387,0.753117496595742,0.6899275324264136
0.47800000000000004,-0.15116651685939334,0.7520729160489688,0.6913754406977443
0.48,-0.1454154111379329,0.7515145887202578,0.6928203230275509
0.482,-0.14159917557654192,0.7518371458259645,0.6942621983083913
0.484,-0.14133476387264376,0.756686679953584,0.6957010852370434
0.486,-0.14095334265956694,0.760853003506825,0.697137002317335
0.488,-0.1355437097199827,0.755627503451095,0.6985699678629192
0.49,-0.13846504812783006,0.755165484899903,0.7
0.492,-0.1442900898718402,0.7474138426820519,0.7014271166700072
0.494,-0.15692269559613592,0.7516327915062921,0.7028513356322231
0.496,-0.15628318766817095,0.7538704346036833,0.7042726744663603
0.498,-0.15025567674917123,0.7497309229841904,0.705691150575094
0.5,-0.13706110676570046,0.7606699429203582,0.7071067811865476
0.502,-0.14301629835724822,0.7572600451705372,0.708519583356734
0.504,-0.13397161323368018,0.75733293510837,0.7099295739719539
0.506,-0.1315915430875051,0.7566536783493788,0.7113367697511496
0.508,-0.14393165689845022,0.7536340928461487,0.7127411872482184
0.51,-0.142334833828824,0.7542593587355937,0.714142842854285
0.512,-0.1434941621182305,0.7508844422709392,0.7155417527999327
0.514,-0.1397143825261749,0.7493579673802208,0.7169379331573968
0.516,-0.129978409997841,0.7450681108344205,0.7183313998427189
0.518,-0.1346088348374713,0.7449106875854011,0.7197221686178633
0.52,-0.14089606215942319,0.7396526589444273,0.7211102550927979
0.522,-0.13758869779032748,0.7511446795943068,0.7224956747275377
0.524,-0.14266216789322883,0.7507867220947353,0.7238784428341544
0.526,-0.13803574997294188,0.7472956817196476,0.7252585745787499
0.528,-0.14345181890193684,0.7449735243689518,0.726636084983398
0.53,-0.14178650313688065,0.7404964308142269,0.7280109889280518
0.532,-0.1385215877473862,0.7489561486692758,0.7293833011524188
0.534,-0.13862073573646516,0.7461900930571475,0.7307530362578044
0.536,-0.1280420543246988,0.7530278233290375,0.7321202087089251
0.538,-0.11924028739903846,0.7588401010548708,0.73348483283569
0.54,-0.12295298638772785,0.7600303691512917,0.7348469228349535
0.542,-0.12347490692275952,0.7656667842718036,0.7362064927722385
0.544,-0.12455864418245984,0.7620050309896215,0.737563556583431
0.546,-0.13143150693539735,0.7639685412628036,0.7389181280764466
0.548,-0.1281224006899729,0.7754101232292976,0.7402702209328699
0.55,-0.12419949483210155,0.7744976580523444,0.7416198487095663
0.552,-0.1255457609740915,0.7665427769832128,0.7429670248402684
0.554,-0.122709412914815,0.7602495664334659,0.7443117626371358
0.556,-0.12163473121168546,0.7616514557479415,0.74565407529229
0.558,-0.11710119833092224,0.7686599158914003,0.7469939758793239
0.56,-0.11821511979528283,0.7686290516689277,0.7483314773547883
0.562,-0.1225998210617368,0.7670397894754317,0.7496665925596525
0.5640000000000001,-0.11597774879688176,0.7681370418882627,0.7509993342207435
0.5660000000000001,-0.11527723644369735,0.771409031305428,0.7523297149521612
0.5680000000000001,-0.11735234047299443,0.7795314579613267,0.7536577472566709
0.5700000000000001,-0.12769538138731054,0.7820649388577502,0.754983443527075
0.5720000000000001,-0.13587668349238677,0.7841959876087338,0.7563068160475616
0.5740000000000001,-0.13844864826899608,0.7838302391815668,0.7576278769950325
0.5760000000000001,-0.1438959209925826,0.7906786319006868,0.7589466384404111
0.578,-0.14611716840423097,0.7988847063586296,0.7602631123499285
0.58,-0.15098254765177466,0.805484807945065,0.7615773105863908
0.582,-0.15418954870880983,0.8159784104414013,0.762889244910426
